"Компания","Город","Домов","Адрес","Телефон","Наименование","Руководитель","Юридический адрес","Диспетчерская служба","Телефоны","Дома в управлении","ИНН","ОГРН","E-mail"
"УК «Жилищный трест Кировского района»","Кемерово","306","ул. 40 лет Октября, д. 9Б","+7 (3842) 65-74-06","Управляющая компания «Жилищный трест Кировского района»","Василькова Юлия Олеговна","Кемеровская обл, г. Кемерово, ул. 40 лет Октября, д. 9Б","+7 (3842) 65-04-57, +7 (3842) 65-74-50","+7 (3842) 65-74-06","306","4205229889","1114205039035","kirtrest@mail.ru"
"УК «Южный»","Кемерово","147","ул. Веры Волошиной, д. 13","+7 (3842) 38-54-63","Управляющая компания «Южный»","Вульферт Андрей Владимирович","Кемеровская обл, г. Кемерово, ул. Веры Волошиной, д. 13","+7 (3842) 38-01-51","+7 (3842) 38-54-63","147","4205055150","1034205061538","yuzhnyj42@yandex.ru"
"УК «Рэу-21»","Кемерово","140","ул. Дзержинского, д. 18","8 (3842) 75-62-46","Управляющая компания «Рэу-21»","Чижова Юлия Викторовна","Кемеровская обл, г. Кемерово, ул. Дзержинского, д. 18","+7 (913) 297-22-98","8 (3842) 75-62-46","140","4205140920","1074205021472","reu-21@mail.ru"
"УК «Гарант+»","Кемерово","134","пр-кт. Ленина, д. 55Б","+7 (3842) 21-37-01","Управляющая компания «Гарант+»","Матюхин Константин Львович","Кемеровская обл, г. Кемерово, пр-кт. Ленина, д. 55Б","+7 (3842) 37-71-14","+7 (3842) 21-37-01","134","4205138617","1074205019107","garant-zh@yandex.ru"
"УК «Мегаполис»","Кемерово","130","ул. Стахановская, д. 1","+7 (3842) 69-23-82","Управляющая компания «Мегаполис»","Дессерт Елена Яковлевна","Кемеровская обл, г. Кемерово, ул. Стахановская, д. 1","+7 (3842) 69-24-84","+7 (3842) 69-23-82","130","4205320753","1154205019627","uk@meg42.ru"
"УК «на Ворошилова»","Кемерово","111","ул. Ворошилова, д. 1А","+7 (3842) 51-47-10","Управляющая компания «на Ворошилова»","Шевченко Николай Петрович","Кемеровская обл, г. Кемерово, ул. Ворошилова, д. 1А","+7 (3842) 51-38-44","+7 (3842) 51-47-10","111","4205260230","1134205004009","ukreu2016@mail.ru"
"УК «Рэу-7»","Кемерово","91","ул. Красноармейская, д. 134А","+7 (3842) 36-54-61","Управляющая компания «Рэу-7»","Поряднова Елена Александровна","Кемеровская обл, г. Кемерово, ул. Красноармейская, д. 134А","+7 (3842) 36-54-61","+7 (3842) 36-54-61","91","4205206313","1104205014726","priyomnaja.reu7@mail.ru"
"УК «Крепость»","Кемерово","89","пр-кт. Ленина, д. 60","8 (3842) 78-06-85","Управляющая компания «Крепость»","Малиновский Павел Вячеславович","Кемеровская обл, г. Кемерово, пр-кт. Ленина, д. 60","+7 (3842) 67-61-24","8 (3842) 78-06-85","89","4205347402","1164205082250","uk.krepost.kem@yandex.ru"
"УК «Рэу №19»","Кемерово","86","ул. Гагарина, д. 136","8 (3842) 54-26-19","Управляющая компания «Рэу №19»","Салимова Марина Викторовна","Кемеровская обл, г. Кемерово, ул. Гагарина, д. 136","+7 (3842) 54-26-19","8 (3842) 54-26-19","86","4205154457","1084205007787","oooukreu19@yandex.ru"
"УК «Таежный»","Кемерово","83","б-р. Осенний, д. 3","8 (3842) 45-27-20","Управляющая компания «Таежный»","Батюченко Евгений Олегович","Кемеровская обл, г. Кемерово, б-р. Осенний, д. 3","+7 (3842) 45-27-20","8 (3842) 45-27-20","83","4205334080","1164205075957","oootaezhnyj@mail.ru"
"УК «Жилищно-коммунальный трест»","Кемерово","76","ул. 9 Января, д. 6","+7 (3842) 35-39-14","Управляющая компания «Жилищно-коммунальный трест»","Кадошников Олег Владимирович","Кемеровская обл, г. Кемерово, ул. 9 Января, д. 6","+7 (3842) 35-37-43","+7 (3842) 35-39-14","76","4205118441","1064205127271","ooojkt@mail.ru"
"УК «Сириус»","Кемерово","72","ул. Барнаульская, д. 31","+7 (904) 372-56-46","Управляющая компания «Сириус»","Ермолюк Елена Семеновна","Кемеровская обл, г. Кемерово, ул. Вельская, д. 1, кв. 29","+7 (904) 372-56-46","+7 (904) 372-56-46","72","4205352040","1174205006392","uksirius42@mail.ru"
"УК «Рэу-9»","Кемерово","66","ул. Орджоникидзе, д. 4","+7 (3842) 58-06-29","Управляющая компания «Рэу-9»","Воинков Николай Евгеньевич","Кемеровская обл, г. Кемерово, ул. Орджоникидзе, д. 4","+7 (3842) 36-66-83","+7 (3842) 58-06-29","66","4205206137","1104205014572","reu9_kemerovo@mail.ru"
